,focal,partner,reaction,class,flux
156,1334,2872,EX_aso4_e,co-consumed,1.4802875130438394e-06
157,1334,2872,EX_asp__L_e,co-consumed,0.03299241224885407
158,1334,2872,EX_ca2_e,co-consumed,0.0008223304796544077
159,1334,2872,EX_carn_e,co-consumed,1.5640237036382502e-06
160,1334,2872,EX_cgly_e,provided,3.827167402158437
161,1334,2872,EX_cit_e,received,2.5683719508318884e-06
162,1334,2872,EX_cl_e,co-consumed,0.0008223303049538001
163,1334,2872,EX_cobalt2_e,co-consumed,1.57988532064e-05
164,1334,2872,EX_csn_e,co-consumed,2.670914366615458e-06
165,1334,2872,EX_cu2_e,co-consumed,0.0001120138692334
166,1334,2872,EX_cys__L_e,co-consumed,0.01452953698287847
167,1334,2872,EX_fe2_e,received,1.7597019773094293e-06
168,1334,2872,EX_fe3_e,co-consumed,0.0001775160016819923
169,1334,2872,EX_fe3pyovd_kt_e,provided,4.7090202462842307e-05
170,1334,2872,EX_fru_e,co-consumed,1.998439181506923e-05
171,1334,2872,EX_fum_e,co-consumed,2.578380270930769e-05
172,1334,2872,EX_glc__D_e,co-consumed,6.245775941846154e-06
173,1334,2872,EX_glu__L_e,co-consumed,3.827269221788899
174,1334,2872,EX_gly_asn__L_e,co-consumed,0.03808430683904224
175,1334,2872,EX_glyclt_e,co-consumed,1.8249630470095566e-06
176,1334,2872,EX_glygln_e,co-consumed,0.14452506513763058
177,1334,2872,EX_gsn_e,co-consumed,1.3125007627515385e-05
178,1334,2872,EX_gthrd_e,received,3.8271609144169476
179,1334,2872,EX_gua_e,co-consumed,0.0342827447561853
180,1334,2872,EX_h2o_e,co-consumed,3.827115220014824
181,1334,2872,EX_h2s_e,co-consumed,0.02431928796671417
182,1334,2872,EX_h_e,co-consumed,1.0167945260993354
183,1334,2872,EX_hexs_e,received,1.0280121936055862e-06
184,1334,2872,EX_his__L_e,received,1.2315588841804397e-06
185,1334,2872,EX_ile__L_e,co-consumed,3.5981613529945235e-06
186,1334,2872,EX_inost_e,co-consumed,2.4347636972703317e-06
187,1334,2872,EX_k_e,co-consumed,0.0308382555391736
188,1334,2872,EX_lac__L_e,provided,4.190526490165385e-06
189,1334,2872,EX_leu__L_e,co-consumed,0.07287881988427311
190,1334,2872,EX_lnlc_e,received,6.758963337411539e-06
191,1334,2872,EX_lys__L_e,provided,0.055791081597038925
192,1334,2872,EX_mal__L_e,co-consumed,2.5617681088794106
193,1334,2872,EX_malt_e,received,1.1462385043749462e-06
194,1334,2872,EX_meoh_e,provided,1.8654553288258585e-06
195,1334,2872,EX_mg2_e,co-consumed,0.0013705505077642962
196,1334,2872,EX_mn2_e,co-consumed,0.00010837414818600385
197,1334,2872,EX_nh4_e,provided,0.03831124219588921
198,1334,2872,EX_no2_e,received,0.00011021439337829616
199,1334,2872,EX_no3_e,provided,9.949526197805001e-05
200,1334,2872,EX_no_e,received,2.293354220028876e-06
201,1334,2872,EX_o2_e,co-consumed,3.84615362881746
202,1334,2872,EX_orn_e,co-consumed,0.03488356874839968
203,1334,2872,EX_pdima_e,co-consumed,1.2187453791127471e-06
204,1334,2872,EX_pea_e,provided,1.027585476087609e-06
205,1334,2872,EX_phe__L_e,provided,1.3766077628264046e-06
206,1334,2872,EX_pi_e,co-consumed,0.22161693274251018
207,1334,2872,EX_pnto__R_e,co-consumed,4.833702521980769e-06
208,1334,2872,EX_pyovd_kt_e,received,4.7156407280773086e-05
209,1334,2872,EX_pyr_e,co-consumed,1.3142785351574012e-06
210,1334,2872,EX_rib__D_e,co-consumed,1.0723937787872875e-06
211,1334,2872,EX_ser__L_e,co-consumed,0.061192871940525535
212,1334,2872,EX_skm_e,co-consumed,5.431792981776924e-06
213,1334,2872,EX_so4_e,co-consumed,0.000685370961125
214,1334,2872,EX_stfrnA_e,co-consumed,1.567571318468327e-06
215,1334,2872,EX_thr__L_e,co-consumed,0.04007678884834553
216,1334,2872,EX_trp__L_e,received,1.373005677165228e-06
217,1334,2872,EX_tyr__L_e,provided,1.181690117682258e-06
218,1334,2872,EX_ura_e,co-consumed,0.0522495526627203
219,1334,2872,EX_val__L_e,co-consumed,8.510756318326924e-06
220,1334,2872,EX_zn2_e,co-consumed,5.307816177365001e-05
221,1334,793,EX_25dkglcn_e,co-consumed,1.3537491859143056e-06
222,1334,793,EX_4abut_e,co-consumed,0.3416662191921631
223,1334,793,EX_5drib_e,co-consumed,1.2684590348473134e-06
224,1334,793,EX_acald_e,provided,1.6520561723e-05
225,1334,793,EX_acgam_e,received,1.070638401117544e-06
226,1334,793,EX_adn_e,provided,1.1191013150615886e-06
227,1334,793,EX_ala__L_e,co-consumed,4.160210017518077e-05
228,1334,793,EX_alahis_e,co-consumed,1.860880405149321e-06
229,1334,793,EX_alltn_e,co-consumed,1.9125645002735964e-06
230,1334,793,EX_arg__L_e,co-consumed,0.06736310437396878
231,1334,793,EX_asp__L_e,received,1.1984581461485226e-06
232,1334,793,EX_ca2_e,co-consumed,0.001185391745599031
233,1334,793,EX_carn_e,co-consumed,1.5640237036382502e-06
234,1334,793,EX_cit_e,co-consumed,0.0013022254978506654
235,1334,793,EX_cl_e,co-consumed,0.0011853916335122
236,1334,793,EX_cobalt2_e,co-consumed,2.2774094178946155e-05
237,1334,793,EX_csn_e,co-consumed,1.406177674999624e-06
238,1334,793,EX_cu2_e,co-consumed,0.0001636246847355
239,1334,793,EX_cys__L_e,received,1.3314761078471157e-06
240,1334,793,EX_dad_2_e,provided,1.407754939463242e-06
241,1334,793,EX_etha_e,co-consumed,1.366745674540251e-06
242,1334,793,EX_fe2_e,co-consumed,6.06025837883077e-05
243,1334,793,EX_fe3_e,co-consumed,0.0001775160016819923
244,1334,793,EX_fe3dcit_e,received,0.0006411072328153307
245,1334,793,EX_fe3pyovd_kt_e,provided,0.00011983000088384616
246,1334,793,EX_fru_e,co-consumed,1.998439181506923e-05
247,1334,793,EX_g3pg_e,provided,1.0626090437949293e-06
248,1334,793,EX_glc__D_e,co-consumed,6.245775941846154e-06
249,1334,793,EX_glcur_e,provided,1.0114460550541517e-06
250,1334,793,EX_glu__L_e,co-consumed,3.7029333799826925e-05
251,1334,793,EX_gly_asn__L_e,co-consumed,0.05041316542276079
252,1334,793,EX_gly_e,co-consumed,8.704655012456922e-05
253,1334,793,EX_glygln_e,co-consumed,0.19641036395246472
