MS.Label,date,Sample.label.on.tube,Species,Tissue.type,Condition.1,Condition.2,exp,prtcl,Technical.replicate,Biological.replicate,Harvested.culture.volume.[ml],Culture.age.[passage.number].**,GroupVar,Compound,ISTD,Resp,ISTD.Resp,Resp.Ratio,Acq.Method.Condensed
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Glycerol,Ribitol,"1,476,517.43","451,269.03",3.27,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,glyceryl-glucosid,Ribitol,"1,445,018.22","356,619.12",4.05,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,glyceryl-glucosid,Ribitol,"1,313,168.29","451,269.03",2.91,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Glycine,Ribitol,"204,333.16","356,619.12",0.57,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Glycine,Ribitol,"202,490.80","451,269.03",0.45,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,hydroxyglutarate,Ribitol,"76,683.52","356,619.12",0.22,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,hydroxyglutarate,Ribitol,"67,999.38","451,269.03",0.15,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Isoleucine,Ribitol,"288,216.01","356,619.12",0.81,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Isoleucine,Ribitol,"205,294.83","451,269.03",0.45,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Leucine,Ribitol,"330,762.19","356,619.12",0.93,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Leucine,Ribitol,"258,330.36","451,269.03",0.57,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Malate,Ribitol,"7,265,396.82","356,619.12",20.37,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Malate,Ribitol,"7,743,148.56","451,269.03",17.16,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Maleate,Ribitol,"3,797.24","356,619.12",0.01,split
